Case#,Customer Comments ,Service Feedback,Catergory Level1,Catergory Level2,Catergory Level3,Catergory,JD,HP
1,手感不错 开机挺快的 正在摸清中,暗影小伙伴您好，惠普产品出厂时经过重重检测，确保品质。还请您多多体验，相信会给您带来物超所值的使用体验。我们也会努力改进，力争为您带来更加优质的产品呢。您的满意是我们孜孜不倦的追求，感谢您对暗影的支持，祝您生活愉快。,Good Comments,Not Classified,Not Classified,Good,,Yes
2,第三次买了，电脑速度很快，公司员工很喜欢。,暗影小伙伴您好，感谢您的支持与厚爱。惠普产品出厂时都是经过重重检测，确保品质，请您放心使用。您的满意是我们孜孜不倦的追求，我们还会为您带来更优质的产品。感谢您对暗影的支持，祝您生活愉快。,Good Comments,Not Classified,Not Classified,Good,,Yes
5,外观还行，性能不错，开机挺快的。,惠粉您好，感谢您对惠普的支持与厚爱。惠普产品出厂时都是经过重重检测，确保品质，请您放心。您的满意是我们孜孜不倦的追求，我们还会为您带来更优质的产品。感谢您对惠普的支持，祝您生活愉快。,Good Comments,Not Classified,Not Classified,Good,,Yes
6,看别人分这么高，感觉买的不是同一个电脑，快递小哥非常好，电脑售后也挺好的（我为什么知道，惠普心里应该有点B数），不过整体来说，电脑挺帅的是真的，再用用再追加评论吧,暗影小伙伴您好，惠普产品出厂时经过重重检测，确保品质。因第三方检测软件众多，检测标准不一，本本不同的使用情况和检测环境都会影响检测结果，我们不建议您以此做为衡量本本性能的依据哦，还请您理解~使用中若有疑问，您也可以拨打（400-885-6616）与我们的售后工程师进行沟通，相信会给您一个满意的答复。您的满意是我们孜孜不倦的追求，感谢您对暗影的支持，祝您生活愉快。,Good Comments,Not Classified,Not Classified,Good,,Yes
7,还行,暗影小伙伴您好，惠普产品出厂时都是经过重重检测，确保品质。还请您多多使用，相信会给您带来物有所值的体验。不胜荣幸，得伴左右，定不负您期望。感谢您对暗影的支持，祝您生活愉快。,Good Comments,Not Classified,Not Classified,Good,,Yes
8,收到时没有电，差评，不工作的情况下充了2个小时才充满，散热不是很好，虽然是轻薄款，但还是有点重????整体还可以，用了才知道,尊敬的用户您好，由于本本在到达您身边前要经历储存、运输等多个环节，电池中的余电可能会因自然放电耗尽，建议您在首次使用时连接适配器供电开机。如给您带来不便，还请多多包涵。另外战66按照商务和军工高标准进行的散热设计，可在不影响和损伤机器的前提下充分发挥出英特尔8代4核处理器和满血版显卡的性能。售出不是结束，我们还有完善的售后服务为您保驾护航，若仍有疑问建议您可以手机拨打（4006103888）与我们的工程师进行沟通。感谢您对惠普的支持，祝您生活愉快。,Good Comments,Not Classified,Not Classified,Good,,Yes
9,京东送货速度超快，当天就到了。用了几天，感觉还是不错的。lol全特效fps120左右。电脑音效也很棒。外观还算好看。不过还是有几点小问题，比如电脑会有点噪音，估计是机械硬盘的声音，影响不大。显示器盖子后面我以为也有灯关，原来只是贴纸。关键就是软件字体和网页字体的问题，按百分百字体就太过小了，如果改成125%的话，字体虽然会放大，但是会变模糊，无解，看的眼睛疼。总得来说，只适合打游戏，如果不经常打游戏的话，真的不推荐买。而且是裸机，没有包。所以只给3? 总的来说，机子不错，值不值6300，就大家自己考虑了。,暗影小伙伴您好，本本配备机械硬盘，在使用中马达高速转动会有轻微的声音产生。此款机器支持1920*1080分辨率，显示效果相当不错。若程序内字体模糊，建议您可以在桌面右击程序图标，属性内选择兼容性选项勾选高DPI时禁用显示缩放即可。若仍有疑问，建议您可以拨打（400-885-6616）与我们售后工程师取得联系，或到当地售后服务站进行检测，我们完善的售后服务会持续为您保驾护航哒~另外本本出厂时是裸机，因商品不同时期促销信息不同，具体促销和赠品信息请以您的实际订单信息为准，还请您理解。感谢您对暗影的支持，祝您生活愉快。,Good Comments,Not Classified,Not Classified,Good,,Yes
10,产品很好，好,惠粉您好，我们的商品从生产每一个零件到将产品送到您手中，都是经过严格检测，确保品质的。能让您满意和开心，是我们的心愿与追求，我们会继续努力做到更好。不胜荣幸，得伴左右，惠惠定不负您期望，祝您生活愉快。,Good Comments,Not Classified,Not Classified,Good,,Yes
11,还好吧，暂时没有发现问题，以后再说哈！,亲爱的惠粉您好，惠普产品出厂时都是经过重重检测，确保品质。还请您多多体验，相信会给您带来物有所值的使用体验。不胜荣幸，得伴左右，定不负您期望。感谢您对惠普的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
12,非常烂,惠粉您好，惠普产品出厂时都是经过重重检测，确保品质。不知您具体遇到什么问题了呢，我们无法判断您机器的具体情况，为尽快帮您落实，建议您可以与我们的工程师（400-885-6616）进行沟通，相信可以给您一个满意的答复~感谢您对惠普的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
13,很生气,暗影小伙伴您好，惠普产品出厂时都是经过重重检测，确保品质。若有问题还请您多多为我们提出宝贵的意见，我们会积极改进，力争为您带来更加优质的产品呢~不胜荣幸，得伴左右，定不负您期望。感谢您对暗影的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
14,刚下载就这样？售后也很差,暗影小伙伴您好，惠普产品出厂时都是经过重重检测，确保品质。不知您具体遇到什么问题了呢，我们无法判断您机器的具体情况，为尽快帮您落实，建议您可以与我们的工程师（400-885-6616）进行沟通，相信可以给您一个满意的答复~感谢您对暗影的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
15,送的上门不能用，反映的问题没解决，服务实在是差。,惠粉您好，惠普产品出厂时都是经过重重检测，确保品质。不知您具体遇到什么问题了呢，我们无法判断您机器的具体情况，为尽快帮您落实，建议您可以与我们的工程师（400-885-6616）进行沟通，相信可以给您一个满意的答复~我们非常重视您遇到的问题，会积极为您反馈，力争为您带来更加优质的服务呢。感谢您对惠普的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
16,都没有评价的欲望，就是不满意！,暗影小伙伴您好，惠普产品出厂时都是经过重重检测，确保品质。若有问题还请您多多为我们提出宝贵的意见，我们会积极改进，力争为您带来更加优质的产品呢~不胜荣幸，得伴左右，定不负您期望。感谢您对暗影的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
17,垃，圾,惠粉您好，惠普产品出厂时都是经过重重检测，确保品质。不知您具体遇到什么问题了呢，若有问题还请您多多为我们提出宝贵的意见，我们会积极改进，力争为您带来更加优质的产品呢~不胜荣幸，得伴左右，定不负您期望。感谢您对惠普的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
18,呵呵,惠粉您好，惠普产品出厂时都是经过重重检测，确保品质。不知您具体遇到什么问题了呢，若有问题还请您多多为我们提出宝贵的意见，我们会积极改进，力争为您带来更加优质的产品呢~不胜荣幸，得伴左右，定不负您期望。感谢您对惠普的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
19,刚买的电脑玩两下就这样了，而且还是在京东自营买的，服了。,惠粉您好，惠普产品出厂时都是经过重重检测，确保品质。不知您具体遇到什么问题了呢，我们无法判断您机器的具体情况，为尽快帮您落实，建议您可以与我们的工程师（400-885-6616）进行沟通，相信可以给您一个满意的答复~感谢您对惠普的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
20,性能很好，但是硬件问题多,暗影小伙伴您好，抱歉给您带来不便。因根据您的描述，我们无法判断您本本的具体情况。但请您放心，我们有完善的售后服务为您保驾护航，建议您可以拨打（400-885-6616）与我们的工程师取得联系，相信可以为您提供更好的帮助。感谢您对暗影的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
21,不愉快的购物,暗影小伙伴您好，惠普产品出厂时都是经过重重检测，确保品质。不知您具体遇到什么问题了呢，使用中有疑问建议您可以与我们的工程师（400-885-6616）进行沟通，购物中有疑问您可以拨打（400-606-5500）与客服专员联系，相信可以给您一个满意的答复~感谢您对暗影的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
22,一般般,暗影小伙伴您好，惠普产品出厂时都是经过重重检测，确保品质。若有问题还请您多多为我们提出宝贵的意见，我们会积极改进，力争为您带来更加优质的产品呢~不胜荣幸，得伴左右，定不负您期望。感谢您对暗影的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
23,总体还可以,暗影小伙伴您好，惠普产品出厂时都是经过重重检测，确保品质。若有问题还请您多多为我们提出宝贵的意见，我们会积极改进，力争为您带来更加优质的产品呢~不胜荣幸，得伴左右，定不负您期望。感谢您对暗影的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
24,宝,暗影小伙伴您好，惠普产品出厂时都是经过重重检测，确保品质。若有问题还请您多多为我们提出宝贵的意见，我们会积极改进，力争为您带来更加优质的产品呢~不胜荣幸，得伴左右，定不负您期望。感谢您对暗影的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
25,这该怎么算，，，原来就没有????,尊敬的用户您好，不知您在使用本本的时候遇到什么问题了呢？此款战66搭载第八代i5处理器和8G内存，配备了256G PCIe SSD与Nvidia Geforce MX150 2G独显，性能还是很强劲的。同时售出不是结束，使用中若有疑问，您也可以座机拨打（8008103888）或手机拨打（4006103888）与我们的工程师进行沟通，我们的工程师24小时竭诚为您服务。若是购物中的问题您可以与客服专员（400-606-5500）沟通。感谢您对惠普的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
26,用起来还是蛮流畅的 散热不错,惠粉您好，惠普产品出厂时都是经过重重检测，确保品质。若有问题还请您多多为我们提出宝贵的意见，我们会积极改进，力争为您带来更加优质的产品呢~不胜荣幸，得伴左右，定不负您期望。感谢您对惠普的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
27,电脑不好用，qq的图片不能直接发到桌面，要下载到图库才行，麻烦！！！,惠粉您好，如需将图片保存到桌面建议您进行以下操作：右键图片，另存为选择桌面即可。若仍有疑问，建议您可以拨打（4006103888）与售后人员进行沟通，我们的售后工程师定会竭诚为您服务。感谢您对惠普的支持，祝您生活愉快。,No meaning,Not Classified,Not Classified,No meaning,,Yes
